date,oncall
2024-12-24,a
2024-12-25,b
2024-12-26,c
2024-12-27,d
2024-12-28,a
2024-12-29,b
2024-12-30,e
2024-12-31,f
2025-01-01,g
2025-01-02,h
2025-01-03,i
2025-01-04,c
2025-01-05,d
2025-01-06,j
2025-01-07,k
2025-01-08,a
2025-01-09,b
2025-01-10,c
2025-01-11,e
2025-01-12,f
2025-01-13,d
2025-01-14,e
2025-01-15,f
2025-01-16,h
2025-01-17,g
2025-01-18,g
2025-01-19,h
2025-01-20,j
2025-01-21,k
2025-01-22,a
2025-01-23,b
2025-01-24,c
2025-01-25,i
2025-01-26,j
2025-01-27,d
2025-01-28,e
2025-01-29,f
2025-01-30,h
2025-01-31,g
2025-02-01,k
2025-02-02,a
2025-02-03,j
2025-02-04,k
2025-02-05,a
2025-02-06,b
2025-02-07,c
2025-02-08,b
2025-02-09,c
2025-02-10,d
2025-02-11,e
2025-02-12,f
2025-02-13,h
2025-02-14,g
2025-02-15,d
2025-02-16,e
2025-02-17,j
2025-02-18,k
2025-02-19,a
2025-02-20,b
2025-02-21,c
2025-02-22,f
2025-02-23,g
2025-02-24,d
2025-02-25,e
2025-02-26,f
2025-02-27,h
2025-02-28,g
2025-03-01,h
2025-03-02,i
2025-03-03,j
2025-03-04,k
2025-03-05,a
2025-03-06,b
2025-03-07,c
2025-03-08,j
2025-03-09,k
2025-03-10,d
2025-03-11,e
2025-03-12,f
2025-03-13,h
2025-03-14,g
2025-03-15,a
2025-03-16,b
2025-03-17,j
2025-03-18,k
2025-03-19,a
2025-03-20,b
2025-03-21,c
2025-03-22,c
2025-03-23,d
2025-03-24,d
2025-03-25,e
2025-03-26,f
2025-03-27,h
2025-03-28,g
2025-03-29,e
2025-03-30,f
2025-03-31,j
2025-04-01,k
2025-04-02,a
2025-04-03,b
2025-04-04,c
2025-04-05,g
2025-04-06,h
2025-04-07,d
2025-04-08,e
2025-04-09,f
2025-04-10,h
2025-04-11,g
2025-04-12,i
2025-04-13,j
2025-04-14,j
2025-04-15,k
2025-04-16,a
2025-04-17,b
2025-04-18,c
2025-04-19,k
2025-04-20,a
2025-04-21,d
2025-04-22,e
2025-04-23,f
2025-04-24,h
2025-04-25,g
2025-04-26,b
2025-04-27,c
2025-04-28,j
2025-04-29,k
2025-04-30,a
2025-05-01,b
2025-05-02,c
2025-05-03,d
2025-05-04,e
2025-05-05,d
2025-05-06,e
2025-05-07,f
2025-05-08,h
2025-05-09,g
2025-05-10,f
2025-05-11,g
2025-05-12,j
2025-05-13,k
2025-05-14,a
2025-05-15,b
2025-05-16,c
2025-05-17,h
2025-05-18,i
2025-05-19,d
2025-05-20,e
2025-05-21,f
2025-05-22,h
2025-05-23,g
2025-05-24,j
2025-05-25,k
2025-05-26,j
2025-05-27,k
2025-05-28,a
2025-05-29,b
2025-05-30,c
2025-05-31,a
2025-06-01,b
2025-06-02,d
2025-06-03,e
2025-06-04,f
2025-06-05,h
2025-06-06,g
2025-06-07,c
2025-06-08,d
2025-06-09,j
2025-06-10,k
2025-06-11,a
2025-06-12,b
2025-06-13,c
2025-06-14,e
2025-06-15,f
2025-06-16,d
2025-06-17,e
2025-06-18,f
2025-06-19,h
2025-06-20,g
2025-06-21,g
2025-06-22,h
2025-06-23,j
2025-06-24,k
2025-06-25,a
2025-06-26,b
2025-06-27,c
2025-06-28,i
2025-06-29,j
2025-06-30,d
2025-07-01,e
2025-07-02,f
2025-07-03,h
2025-07-04,g
2025-07-05,k
2025-07-06,a
2025-07-07,j
2025-07-08,k
2025-07-09,a
2025-07-10,b
2025-07-11,c
2025-07-12,b
2025-07-13,c
2025-07-14,d
2025-07-15,e
2025-07-16,f
2025-07-17,h
2025-07-18,g
2025-07-19,d
2025-07-20,e
2025-07-21,j
2025-07-22,k
2025-07-23,a
2025-07-24,b
2025-07-25,c
2025-07-26,f
2025-07-27,g
2025-07-28,d
2025-07-29,e
2025-07-30,f
2025-07-31,h
2025-08-01,g
2025-08-02,h
2025-08-03,i
2025-08-04,j
2025-08-05,k
2025-08-06,a
2025-08-07,b
2025-08-08,c
2025-08-09,j
2025-08-10,k
2025-08-11,d
2025-08-12,e
2025-08-13,f
2025-08-14,h
2025-08-15,g
2025-08-16,a
2025-08-17,b
2025-08-18,j
2025-08-19,k
2025-08-20,a
2025-08-21,b
2025-08-22,c
2025-08-23,c
2025-08-24,d
2025-08-25,d
2025-08-26,e
2025-08-27,f
2025-08-28,h
2025-08-29,g
2025-08-30,e
2025-08-31,f
2025-09-01,j
2025-09-02,k
2025-09-03,a
2025-09-04,b
2025-09-05,c
2025-09-06,g
2025-09-07,h
2025-09-08,d
2025-09-09,e
2025-09-10,f
2025-09-11,h
2025-09-12,g
2025-09-13,i
2025-09-14,j
2025-09-15,j
2025-09-16,k
2025-09-17,a
2025-09-18,b
2025-09-19,c
2025-09-20,k
2025-09-21,a
2025-09-22,d
2025-09-23,e
2025-09-24,f
2025-09-25,h
2025-09-26,g
2025-09-27,b
2025-09-28,c
2025-09-29,j
2025-09-30,k
2025-10-01,a
2025-10-02,b
2025-10-03,c
2025-10-04,d
2025-10-05,e
2025-10-06,d
2025-10-07,e
2025-10-08,f
2025-10-09,h
2025-10-10,g
2025-10-11,f
2025-10-12,g
2025-10-13,j
2025-10-14,k
2025-10-15,a
2025-10-16,b
2025-10-17,c
2025-10-18,h
2025-10-19,i
2025-10-20,d
2025-10-21,e
2025-10-22,f
2025-10-23,h
2025-10-24,g
2025-10-25,j
2025-10-26,k
2025-10-27,j
2025-10-28,k
2025-10-29,a
2025-10-30,b
2025-10-31,c
2025-11-01,a
2025-11-02,b
2025-11-03,d
2025-11-04,e
2025-11-05,f
2025-11-06,h
2025-11-07,g
2025-11-08,c
2025-11-09,d
2025-11-10,j
2025-11-11,k
2025-11-12,a
2025-11-13,b
2025-11-14,c
2025-11-15,e
2025-11-16,f
2025-11-17,d
2025-11-18,e
2025-11-19,f
2025-11-20,h
2025-11-21,g
2025-11-22,g
2025-11-23,h
2025-11-24,j
2025-11-25,k
2025-11-26,a
2025-11-27,b
2025-11-28,c
2025-11-29,i
2025-11-30,j
2025-12-01,d
2025-12-02,e
2025-12-03,f
2025-12-04,h
2025-12-05,g
2025-12-06,k
2025-12-07,a
2025-12-08,j
2025-12-09,k
2025-12-10,a
2025-12-11,b
2025-12-12,c
2025-12-13,b
2025-12-14,c
2025-12-15,d
2025-12-16,e
2025-12-17,f
2025-12-18,h
2025-12-19,g
2025-12-20,d
2025-12-21,e
2025-12-22,j
2025-12-23,k
